Date,Year,Month,Day,Arrival Quantity,Min Price,Max Price,Previous_Modal_Price,Modal Price
2002-01-08,2002,1,8,0.0,400.0,500.0,300.0,450.0
2002-01-10,2002,1,10,34.0,300.0,400.0,450.0,360.0
2002-01-11,2002,1,11,0.0,350.0,450.0,360.0,400.0
2002-01-14,2002,1,14,41.0,300.0,400.0,400.0,350.0
2002-01-15,2002,1,15,0.0,300.0,400.0,350.0,350.0
2002-01-16,2002,1,16,0.0,320.0,400.0,350.0,360.0
2002-01-17,2002,1,17,0.0,280.0,400.0,360.0,340.0
2002-01-18,2002,1,18,29.0,300.0,400.0,340.0,350.0
2002-01-22,2002,1,22,0.0,180.0,200.0,350.0,220.0
2002-01-23,2002,1,23,42.0,200.0,300.0,220.0,250.0
2002-01-25,2002,1,25,0.0,200.0,350.0,250.0,275.0
2002-01-28,2002,1,28,45.0,250.0,350.0,275.0,300.0
2002-01-31,2002,1,31,0.0,400.0,500.0,300.0,450.0
2002-02-01,2002,2,1,0.0,400.0,500.0,450.0,460.0
2002-02-04,2002,2,4,0.0,400.0,560.0,460.0,480.0
2002-02-05,2002,2,5,0.0,450.0,600.0,480.0,530.0
2002-02-06,2002,2,6,0.0,460.0,600.0,530.0,530.0
2002-02-07,2002,2,7,5.0,400.0,600.0,530.0,500.0
2002-02-11,2002,2,11,32.0,466.0,550.0,500.0,505.0
2002-02-12,2002,2,12,0.0,500.0,560.0,505.0,530.0
2002-02-15,2002,2,15,36.0,400.0,560.0,530.0,480.0
2002-02-19,2002,2,19,36.0,460.0,600.0,480.0,530.0
2002-02-20,2002,2,20,40.0,500.0,600.0,530.0,550.0
2002-02-26,2002,2,26,21.0,300.0,460.0,550.0,380.0
2002-02-27,2002,2,27,0.0,350.0,500.0,380.0,430.0
2002-02-28,2002,2,28,0.0,380.0,550.0,430.0,460.0
2002-03-01,2002,3,1,0.0,375.0,600.0,460.0,487.0
2002-03-06,2002,3,6,0.0,400.0,560.0,487.0,480.0
2002-03-19,2002,3,19,0.0,460.0,550.0,480.0,570.0
