Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : January - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HYDERABAD / हैदराबाद,TOMATO LOCAL,Min.Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,
,,,Max.Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,
,,,Model.Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,
,,,Retail.Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,
,,,ArrivalQty,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,
2,LUCKNOW / लखनऊ,TOMATO LOCAL,Min.Price,,1050,1000,900,900,900,950,,1150,1300,1200,1250,1300,1350,,1250,1300,1350,1375,1400,1450,,1200,1200,,,1275,1150,,1100,1200
,,,Max.Price,,1250,1200,1200,1000,1000,1100,,1350,1500,1400,1450,1400,1500,,1450,1500,1550,1525,1600,1550,,1400,1400,,,1425,1350,,1300,1400
,,,Model.Price,,1150,1100,1050,950,950,1025,,1250,1400,1300,1350,1350,1425,,1350,1450,1450,1450,1500,1500,,1300,1300,,,1350,1250,,1200,1300
,,,Retail.Price,,1500,1500,1500,1500,1500,1500,,1600,1600,2000,2000,2000,2000,,2000,2000,2000,2000,2000,2000,,1800,1800,,,1800,1500,,1500,1600
,,,ArrivalQty,,50,55,60,67,70,62,,58,58,60,57,59,54,,60,48,48,50,42,45,,50,50,,,48,50,,53,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PATNA / पटना,TOMATO LOCAL,Min.Price,,700,700,600,500,800,700,,600,1100,1000,1100,1000,1000,,1000,1000,950,1100,800,800,,800,700,700,,700,750,,600,500
,,,Max.Price,,1000,800,800,1000,1000,1000,,800,1200,1500,1400,1500,1400,,1200,1500,1100,1400,1200,1100,,1000,900,900,,800,850,,800,700
,,,Model.Price,,850,750,700,750,900,850,,700,1150,1250,1250,1250,1200,,1100,1250,1025,1250,1000,950,,900,800,800,,750,800,,700,600
,,,Retail.Price,,2000,2000,2000,2000,2000,2000,,1600,2000,2000,2000,2000,2000,,2000,2500,2000,2000,2000,2000,,2000,2000,2000,,2000,2000,,1600,1500
,,,ArrivalQty,,120,122,110,100,80,85,,90,80,75,80,90,75,,80,68,75,65,75,85,,90,90,80,,90,75,,80,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RANCHI / रांची,TOMATO LOCAL,Min.Price,,650,650,605,700,500,500,,600,650,640,500,600,550,,500,600,600,580,600,600,,500,500,500,,500,400,,400,600
,,,Max.Price,,880,880,900,910,800,800,,800,900,850,800,900,875,,800,900,900,900,900,900,,800,700,700,,700,700,,600,775
,,,Model.Price,,750,710,760,750,600,600,,650,700,675,550,700,600,,550,700,700,680,700,700,,600,575,600,,575,500,,450,650
,,,Retail.Price,,1800,1600,1600,1600,1600,1500,,1500,1500,1500,1500,1600,1500,,1500,1500,1600,1600,1500,1600,,1200,1200,1200,,1200,1200,,1000,1200
,,,ArrivalQty,,35,38,35,31,40,45,,41,40,40,50,38,45,,50,45,38,40,45,38,,45,50,41,,50,40,,50,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VARANASI / वाराणसी,TOMATO LOCAL,Min.Price,,500,400,500,400,500,300,,400,400,400,300,500,300,,500,800,600,600,700,700,,900,800,700,,600,500,,500,500
,,,Max.Price,,600,600,600,600,600,400,,500,500,600,700,600,700,,750,900,800,800,900,800,,1100,1000,900,,800,700,,600,760
,,,Model.Price,,550,500,550,500,550,350,,450,450,500,500,550,600,,650,850,700,750,800,750,,1000,900,800,,700,600,,550,660
,,,Retail.Price,,1000,1000,1000,1000,1000,800,,1000,1000,1000,1000,1000,1200,,1200,1500,1200,1200,1500,1500,,2000,1300,1200,,1200,1000,,1000,1200
,,,ArrivalQty,,93,116,78,100,81,100,,100,126,82,86,78,64,,25,15,30,30,32,49,,78,100,44,,83,58,,82,61
