Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : May - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANGALURU / बेंगल�?रू,TOMATO LOCAL,Min.Price,,500,500,500,,,,500,500,,600,500,,,600,600,700,600,600,,,70,,,,,,,,,
,,,Max.Price,,700,600,600,,,,700,600,,800,600,,,700,800,900,800,800,,,900,,,,,,,,,
,,,Model.Price,,600,550,550,,,,600,550,,700,550,,,650,700,800,700,700,,,800,,,,,,,,,
,,,Retail.Price,,1200,1200,1200,,,,1200,1200,,1400,1200,,,1200,1400,1600,1500,1500,,,1600,,,,,,,,,
,,,ArrivalQty,,0,0,0,,,,0,0,,0,0,,,0,0,0,0,0,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HYDERABAD / हैदराबाद,TOMATO LOCAL,Min.Price,,,,,400,,,400,400,,,400,,,,,,,,,,,400,400,,,400,,,,
,,,Max.Price,,,,,800,,,800,1000,,,1100,,,,,,,,,,,1200,1400,,,1200,,,,
