Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : June - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANGALURU / बेंगल�?रू,TOMATO LOCAL,Min.Price,1000,1200,,,1500,1600,1600,1600,1600,,,1600,1500,,,,,,,,,,,,,,,,,,
,,,Max.Price,1400,1400,,,2000,2000,2000,2000,2000,,,2000,2000,,,,,,,,,,,,,,,,,,
,,,Model.Price,1200,1300,,,1750,1800,1800,1800,1800,,,1800,1750,,,,,,,,,,,,,,,,,,
,,,Retail.Price,2200,2000,,,3000,3000,3000,3000,3000,,,3000,3000,,,,,,,,,,,,,,,,,,
,,,ArrivalQty,0,0,,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LUCKNOW / लखनऊ,TOMATO LOCAL,Min.Price,1400,1350,1420,,1475,1450,1600,1800,2000,2200,,2050,,,,,,,,,,,,,,,,,,,
,,,Max.Price,1600,1550,1580,,1625,1650,1800,2000,2400,2500,,2450,,,,,,,,,,,,,,,,,,,
,,,Model.Price,1500,1450,1500,,1550,1550,1700,1900,2200,2350,,2250,,,,,,,,,,,,,,,,,,,
,,,Retail.Price,2000,2000,2000,,2000,2000,2500,2800,3000,3000,,3000,,,,,,,,,,,,,,,,,,,
,,,ArrivalQty,48,52,50,,47,45,40,38,36,35,,37,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PATNA / पटना,TOMATO LOCAL,Min.Price,1600,,1500,,1200,1400,1800,1600,1800,1800,,2000,2200,,,,,,,,,,,,,,,,,,
,,,Max.Price,2000,,1800,,1600,1600,2000,2000,2200,2000,,2200,2400,,,,,,,,,,,,,,,,,,
,,,Model.Price,1800,,1650,,1400,1500,1900,1800,2000,1900,,2100,2300,,,,,,,,,,,,,,,,,,
,,,Retail.Price,3000,,3000,,3000,3000,3600,3500,3500,3500,,3500,4000,,,,,,,,,,,,,,,,,,
,,,ArrivalQty,16,,22,,22,20,15,16,15,16,,15,14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RANCHI / रांची,TOMATO LOCAL,Min.Price,700,750,,,600,700,800,1000,1010,1100,,,1100,,,,,,,,,,,,,,,,,,
,,,Max.Price,1200,1100,,,1000,1000,1100,1500,1550,1600,,,1700,,,,,,,,,,,,,,,,,,
,,,Model.Price,1000,900,,,800,800,900,1200,1300,1400,,,1300,,,,,,,,,,,,,,,,,,
,,,Retail.Price,1800,1800,,,1800,1800,1800,2500,2800,2800,,,2500,,,,,,,,,,,,,,,,,,
,,,ArrivalQty,35,33,,,25,30,35,33,31,30,,,35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VARANASI / वाराणसी,TOMATO LOCAL,Min.Price,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,
,,,Max.Price,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,
,,,Model.Price,,,,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,
,,,Retail.Price,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,
,,,ArrivalQty,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
