Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : February - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANGALURU / बेंगल�?रू,TOMATO LOCAL,Min.Price,1500,1400,1500,,,1400,1200,1200,1000,1000,,,1200,1400,1000,1200,,,,1200,1200,,140,1600,,,1400,1600,,,
,,,Max.Price,2000,1800,2000,,,2000,1400,1400,1400,1200,,,1400,1600,1200,1400,,,,1400,1600,,1800,2000,,,2000,2200,,,
,,,Model.Price,1750,1600,1750,,,1700,1300,1300,1200,1100,,,1300,1500,1100,1300,,,,1300,1400,,1600,1800,,,1700,1900,,,
,,,Retail.Price,3000,2500,3000,,,3000,2200,2200,2200,2200,,,2200,2500,2200,2500,,,,2200,2500,,2600,3000,,,3000,3500,,,
,,,ArrivalQty,0,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HYDERABAD / हैदराबाद,TOMATO LOCAL,Min.Price,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
