Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : March - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANGALURU / बेंगल�?रू,TOMATO LOCAL,Min.Price,1800,,,,,1500,2000,,2000,,,,2000,1800,1800,1800,1800,,,1800,1800,,1600,1800,,,1800,1000,800,,600
,,,Max.Price,2200,,,,,2000,2200,,2200,,,,2200,2000,2200,2200,2000,,,2200,2200,,2000,2200,,,2200,1200,1000,,800
,,,Model.Price,2000,,,,,1750,2100,,2100,,,,2100,1900,2000,2000,1900,,,2000,2000,,1800,2000,,,2000,1100,900,,700
,,,Retail.Price,3500,,,,,3000,3200,,3000,,,,3200,3000,3200,3000,3000,,,3200,3200,,2800,3000,,,3000,2000,1600,,1500
,,,ArrivalQty,0,,,,,0,0,,0,,,,0,0,0,0,0,,,0,0,,0,0,,,6,0,0,,0
2,LUCKNOW / लखनऊ,TOMATO LOCAL,Min.Price,650,700,725,750,,800,1000,,1400,1200,1200,,1275,1250,1250,1200,1250,1275,,1350,1400,1375,1350,1200,1300,,1475,1500,1480,,1450
,,,Max.Price,800,850,825,850,,1000,1200,,1600,1500,1400,,1475,1450,1450,1400,1350,1375,,1450,1500,1575,1550,1500,1500,,1575,1600,1580,,1550
,,,Model.Price,725,775,775,800,,900,1100,,1500,1350,1300,,1375,1350,1350,1300,1300,1325,,1400,1450,1475,1450,1350,1400,,1525,1550,1530,,1500
,,,Retail.Price,1000,1000,1000,1000,,1400,1500,,2000,2000,1800,,1800,1800,1800,1800,1800,1800,,2000,2000,2000,2000,1800,1800,,2800,2000,2000,,2000
,,,ArrivalQty,68,58,54,50,,53,48,,30,47,56,,53,60,60,65,70,62,,60,54,52,55,60,56,,53,50,58,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PATNA / पटना,TOMATO LOCAL,Min.Price,600,600,500,500,,700,700,,,1000,800,,900,800,600,400,500,400,,550,800,1000,800,800,800,,1000,,1600,,1000
,,,Max.Price,1000,800,680,650,,1000,900,,,1200,1000,,1000,1000,1000,600,600,700,,700,1000,1200,1000,1200,1000,,1200,,1800,,1200
,,,Model.Price,800,700,590,575,,850,800,,,1100,900,,950,900,800,500,550,550,,625,900,1100,900,1000,900,,1100,,1700,,1100
,,,Retail.Price,2000,2000,2000,2000,,2000,2000,,,2000,2000,,2000,2000,1600,1600,1600,1600,,1600,2000,2200,2000,2000,2000,,2000,,3000,,2500
,,,ArrivalQty,45,60,75,80,,70,65,,,60,70,,75,80,85,75,90,75,,60,50,40,75,60,70,,60,,50,,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RANCHI / रांची,TOMATO LOCAL,Min.Price,500,400,400,450,,400,500,,400,450,500,,500,400,410,450,400,440,,600,650,675,600,650,600,,675,650,600,,650
,,,Max.Price,770,700,700,735,,700,710,,600,700,750,,700,700,750,800,750,710,,800,810,850,800,780,810,,800,810,750,,750
,,,Model.Price,560,500,450,480,,600,550,,500,600,550,,600,500,550,575,500,575,,700,680,700,660,700,650,,710,700,700,,675
,,,Retail.Price,1400,1400,1400,1400,,1400,1400,,1400,1400,1400,,1400,1400,1400,1400,1400,1400,,1800,1800,1800,1800,1800,1500,,1500,1200,1200,,1200
,,,ArrivalQty,35,40,33,30,,31,40,,30,41,31,,25,22,25,23,40,35,,25,30,28,31,30,22,,25,22,30,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VARANASI / वाराणसी,TOMATO LOCAL,Min.Price,800,750,1000,880,,1000,800,,900,900,800,,800,800,600,800,700,750,,600,600,1000,1000,1000,1000,,1000,1500,1200,,1500
,,,Max.Price,1000,1000,1400,1300,,1200,1200,,1200,1000,900,,1000,1200,1000,1000,900,900,,800,900,1200,1400,1200,1400,,1300,1700,1500,,1700
,,,Model.Price,900,850,1200,1150,,1100,1000,,1000,950,850,,900,1000,800,900,800,800,,700,750,1100,1200,1100,1200,,1200,1600,1400,,1600
,,,Retail.Price,1200,1400,1700,2000,,2000,2000,,2000,2000,1200,,1400,1600,1200,1500,1400,2000,,1200,1400,2000,2000,2000,2500,,2200,2500,2500,,2500
,,,ArrivalQty,46,29,37,49,,37,38,,40,55,42,,40,42,45,34,33,20,,32,3800,22,18,2200,20,,22,20,18,,33
