Report Name : Monthly Price And Arrival Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Date : 13/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Month & Year : April - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Category : VEGETABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Name : TOMATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Center,Variety,Parameter,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
,Name,Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"(Rs/Qtl.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arrival(MT.)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BANGALURU / बेंगल�?रू,TOMATO LOCAL,Min.Price,,,600,,,500,,,,600,600,500,500,,,,,800,800,700,800,,,800,800,800,,,,,
,,,Max.Price,,,700,,,700,,,,700,800,700,600,,,,,1000,1000,900,1000,,,1200,1000,1000,,,,,
,,,Model.Price,,,650,,,600,,,,650,700,600,550,,,,,900,900,800,900,,,1000,900,900,,,,,
,,,Retail.Price,,,1200,,,1200,,,,1200,1400,1200,1200,,,,,1800,1600,1500,1800,,,2000,1800,1600,,,,,
,,,ArrivalQty,,,0,,,0,,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LUCKNOW / लखनऊ,TOMATO LOCAL,Min.Price,1275,,1300,,1200,1340,,1375,,1375,1400,1350,1300,,1250,,1275,1350,1400,900,800,,,925,1000,1000,1200,,1100,,
,,,Max.Price,1475,,1500,,1400,1460,,1475,,1475,1500,1550,1500,,1450,,1475,1550,1600,1200,1000,,,1075,1200,1400,1500,,1400,,
,,,Model.Price,1375,,1400,,1300,1400,,1425,,1425,1450,1450,1400,,1350,,1375,1450,1500,1050,900,,,1000,1100,1200,1350,,1250,,
,,,Retail.Price,2000,,2000,,2000,2000,,2000,,2000,2000,2000,2000,,2000,,2000,2000,2000,1500,1500,,,1600,1600,1800,1800,,1800,,
,,,ArrivalQty,63,,56,,68,52,,55,,55,50,52,56,,60,,65,53,50,58,69,,,65,62,55,50,,59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PATNA / पटना,TOMATO LOCAL,Min.Price,1000,,400,,500,800,,700,,,800,600,,,600,,500,600,600,700,600,,,600,500,500,500,550,500,,
,,,Max.Price,1400,,600,,700,1000,,950,,,1000,700,,,800,,700,800,800,900,700,,,800,1000,1000,800,800,700,,
,,,Model.Price,1200,,500,,600,900,,825,,,900,650,,,700,,600,700,700,800,650,,,700,750,750,650,675,600,,
,,,Retail.Price,2500,,2000,,2000,2000,,2000,,,2000,2000,,,2000,,1600,1600,1600,1800,1800,,,1600,1800,1800,1600,1600,1600,,
,,,ArrivalQty,75,,75,,60,40,,45,,,45,40,,,45,,50,60,45,40,45,,,40,45,45,50,45,50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RANCHI / रांची,TOMATO LOCAL,Min.Price,800,,700,,750,700,,640,,650,600,610,700,,675,,700,700,,,760,,,750,900,800,815,780,775,,
,,,Max.Price,1100,,900,,910,900,,870,,800,850,860,900,,880,,1000,1010,,,1050,,,1100,1300,1110,1200,1180,1200,,
,,,Model.Price,1000,,750,,800,750,,700,,700,750,770,750,,710,,800,850,,,840,,,900,1000,1000,1010,950,1000,,
,,,Retail.Price,1500,,1500,,1800,1800,,1800,,1800,1800,1800,1800,,1800,,2000,2000,,,2000,,,2000,2200,2000,2000,2000,2000,,
,,,ArrivalQty,32,,35,,33,35,,40,,35,33,31,35,,33,,30,31,,,30,,,33,30,31,30,35,33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VARANASI / वाराणसी,TOMATO LOCAL,Min.Price,1500,,1000,,1000,1000,,1000,,1200,1200,1000,1200,,1200,,1000,1000,1000,1000,1000,,,1000,1000,1000,1000,1000,1000,,
,,,Max.Price,1800,,1500,,1500,1400,,1200,,1400,1600,1200,1400,,1500,,1200,1200,1200,1200,1200,,,1200,1200,1200,1200,1200,1400,,
,,,Model.Price,1700,,1200,,1300,1200,,1100,,1300,1400,1100,1300,,1350,,1100,1100,1100,1100,1150,,,1100,1100,1100,1150,1100,1200,,
,,,Retail.Price,2500,,2000,,2000,2200,,2000,,2000,2000,2000,2000,,2000,,2000,2000,2000,2000,2000,,,2000,2000,2000,2000,2000,2000,,
,,,ArrivalQty,19,,20,,14,15,,39,,42,0,36,39,,0,,0,0,0,0,0,,,0,0,0,0,0,0,,
