,tasmin,tas,tasmax
2010-01-01,9.7,16.75,23.85
2010-02-01,13.5,20.675001,27.875
2010-03-01,19.45,26.925001,34.45
2010-04-01,23.95,31.400002,38.925
2010-05-01,25.100002,31.925001,38.8
2010-06-01,25.824999,30.9,36.025
2010-07-01,24.875,28.2,31.600002
2010-08-01,24.724998,27.75,30.825
2010-09-01,23.75,27.25,30.8
2010-10-01,21.175001,25.875,30.625
2010-11-01,16.775002,22.900002,29.075
2010-12-01,10.775001,17.575,24.400002
2011-01-01,10.025,16.85,23.725
2011-02-01,13.125,20.225,27.35
2011-03-01,18.35,25.625002,33.0
2011-04-01,21.875,29.075,36.325
2011-05-01,24.8,31.5,38.25
2011-06-01,24.725002,29.725002,34.775
2011-07-01,24.325,27.550001,30.825
2011-08-01,23.925001,27.050001,30.25
2011-09-01,23.15,26.75,30.375
2011-10-01,20.4,25.300001,30.225002
2011-11-01,15.25,21.475,27.8
2011-12-01,11.025,17.975002,24.975002
2012-01-01,9.35,16.05,22.800001
2012-02-01,12.924999,19.725,26.6
2012-03-01,17.775002,25.25,32.775
2012-04-01,21.95,29.175001,36.45
2012-05-01,25.15,32.075,39.05
2012-06-01,26.575,31.675,36.825
2012-07-01,23.85,27.15,30.525
2012-08-01,23.85,27.025,30.275002
2012-09-01,23.0,26.650002,30.375
2012-10-01,18.925001,24.25,29.625
2012-11-01,13.975,20.400002,26.900002
2012-12-01,10.7,17.675001,24.7
2013-01-01,9.8,16.8,23.825
2013-02-01,12.450001,19.35,26.275
2013-03-01,17.550001,25.000002,32.5
2013-04-01,22.075,29.15,36.25
2013-05-01,25.025002,31.45,37.925
2013-06-01,24.675,29.8,35.000004
2013-07-01,24.150002,27.525,30.95
2013-08-01,23.325,26.65,30.025
2013-09-01,23.099998,26.925,30.775002
2013-10-01,20.25,24.574999,28.925001
2013-11-01,13.125,19.849998,26.625
2013-12-01,10.6,17.050001,23.525002
2014-01-01,11.025001,17.125,23.300001
2014-02-01,12.575,18.900002,25.275
2014-03-01,16.875,24.125,31.45
2014-04-01,22.375,29.925001,37.55
2014-05-01,24.5,31.525002,38.649998
2014-06-01,25.05,30.400002,35.775
2014-07-01,23.900002,27.375002,30.875002
2014-08-01,23.75,27.025002,30.325
2014-09-01,22.650002,26.400002,30.2
2014-10-01,19.375,24.550001,29.75
2014-11-01,13.900001,20.300001,26.725
2014-12-01,10.325001,16.675,23.075
2015-01-01,11.075,17.250002,23.475
2015-02-01,12.925001,19.45,26.0
2015-03-01,17.1,24.125,31.224998
2015-04-01,21.2,27.900002,34.65
2015-05-01,24.675001,31.65,38.675003
2015-06-01,25.025,30.275002,35.55
2015-07-01,23.425,27.125002,30.900002
2015-08-01,23.800001,27.075,30.375
2015-09-01,22.725,26.775,30.825
2015-10-01,20.0,25.075,30.175001
2015-11-01,14.425,20.850002,27.375
2015-12-01,10.75,16.975,23.225
2016-01-01,10.200001,16.525,22.900002
2016-02-01,14.975,21.05,27.2
2016-03-01,18.875,25.650002,32.45
2016-04-01,22.6,30.025,37.475002
2016-05-01,24.075,31.0,37.975002
2016-06-01,24.975,30.45,35.95
2016-07-01,23.5,27.025,30.625
2016-08-01,23.800001,27.25,30.725
2016-09-01,23.0,26.750002,30.525
2016-10-01,20.2,25.2,30.225
2016-11-01,14.375,20.6,26.825
2016-12-01,11.825,18.375002,24.975
2017-01-01,10.725,17.45,24.224998
2017-02-01,13.200001,19.900002,26.675
2017-03-01,17.5,23.875,30.3
2017-04-01,22.675,29.125,35.65
2017-05-01,24.599998,31.55,38.525
2017-06-01,24.900002,30.3,35.775
2017-07-01,23.625,27.025,30.45
2017-08-01,23.775,27.125,30.5
2017-09-01,23.025,26.925001,30.875
2017-10-01,20.25,24.875,29.5
2017-11-01,14.800001,21.125,27.45
2017-12-01,11.45,17.7,23.975
2018-01-01,9.35,15.875,22.425001
2018-02-01,13.925001,20.325,26.8
2018-03-01,18.099998,25.0,31.975002
2018-04-01,21.2,28.075,35.000004
2018-05-01,23.575,30.300001,37.075
2018-06-01,24.574999,30.15,35.800003
2018-07-01,23.599998,27.2,30.875
2018-08-01,23.600002,27.050001,30.525002
2018-09-01,22.575,26.650002,30.8
2018-10-01,19.150002,24.1,29.1
2018-11-01,13.625,20.150002,26.750002
2018-12-01,10.0,16.625002,23.275
2019-01-01,10.200001,17.075,24.000002
2019-02-01,13.099999,19.525002,26.0
2019-03-01,17.3,24.025002,30.825
2019-04-01,22.375,29.100002,35.875
2019-05-01,25.050001,31.875,38.75
2019-06-01,25.5,31.175001,36.875
2019-07-01,23.95,27.65,31.425001
2019-08-01,23.525,27.074999,30.650002
2019-09-01,22.55,26.325,30.175001
2019-10-01,19.625,24.4,29.224998
2019-11-01,15.175,21.175001,27.2
2019-12-01,9.975,16.1,22.275002
